영업일자,상품분류,상품명,판매수량
2021-02-15,식료,카페라떼(HOT),7
2021-02-15,식료,카푸치노(HOT),4
2021-02-15,식료,바닐라라떼(HOT),1
2021-02-15,식료,카페모카(HOT),1
2021-02-15,식료,카페모카(ICE),1
2021-02-15,식료,초코라떼(HOT),1
2021-02-15,식료,그린티라떼(HOT) ,1
2021-02-15,식료,그린티라떼(ICE) ,1
2021-02-15,식료,흑당라떼(HOT),1
2021-02-15,식료,흑당라떼(ICE),1
2021-02-15,식료,아이스티,1
2021-02-15,식료,청포도주스(ICE),1
2021-02-15,식료,아메리카노(HOT),7
2021-02-15,식료,아메리카노(ICE),11
2021-02-16,식료,카페라떼(HOT),3
2021-02-16,식료,카페라떼(ICE),1
2021-02-16,식료,카푸치노(HOT),1
2021-02-16,식료,바닐라라떼(HOT),2
2021-02-16,식료,초코라떼(HOT),1
2021-02-16,식료,스위티자몽(HOT),4
2021-02-16,식료,스위티자몽(ICE),3
2021-02-16,식료,청포도주스(ICE),4
2021-02-16,식료,아메리카노(HOT),24
2021-02-16,식료,아메리카노(ICE),14
2021-02-17,식료,카페라떼(HOT),3
2021-02-17,식료,카페라떼(ICE),3
2021-02-17,식료,카푸치노(HOT),1
2021-02-17,식료,바닐라라떼(HOT),3
2021-02-17,식료,바닐라라떼(ICE),3
2021-02-17,식료,카페모카(ICE),1
2021-02-17,식료,초코라떼(HOT),2
2021-02-17,식료,초코라떼(ICE),2
2021-02-17,식료,그린티라떼(HOT) ,1
2021-02-17,식료,그린티라떼(ICE) ,1
2021-02-17,식료,흑당라떼(HOT),2
2021-02-17,식료,흑당라떼(ICE),1
2021-02-17,식료,스위티자몽(HOT),3
2021-02-17,식료,아메리카노(HOT),16
2021-02-17,식료,아메리카노(ICE),8
2021-02-18,식료,카페라떼(HOT),6
2021-02-18,식료,카페라떼(ICE),1
2021-02-18,식료,카푸치노(HOT),2
2021-02-18,식료,바닐라라떼(HOT),2
2021-02-18,식료,바닐라라떼(ICE),1
2021-02-18,식료,카페모카(HOT),2
2021-02-18,식료,초코라떼(HOT),4
2021-02-18,식료,초코라떼(ICE),1
